teks,label
Pelayanan humas Pupuk Iskandar Muda sangat ramah dan informatif,positif
Informasi yang disampaikan perusahaan sangat jelas dan mudah dipahami,positif
Program CSR Pupuk Iskandar Muda sangat membantu masyarakat sekitar,positif
Publikasi kegiatan perusahaan sangat transparan,positif
Humas cepat merespon pertanyaan masyarakat,positif
Konten media sosial PIM sangat edukatif,positif
Saya bangga dengan kontribusi Pupuk Iskandar Muda untuk daerah,positif
Informasi lowongan kerja disampaikan dengan baik,positif
Kegiatan sosial perusahaan sangat bermanfaat,positif
Komunikasi perusahaan dengan masyarakat terjalin baik,positif
Postingan humas cukup informatif,netral
Informasi yang diberikan standar saja,netral
Pengumuman kegiatan sudah jelas,netral
Berita perusahaan biasa saja,netral
Tidak ada masalah dengan informasi yang disampaikan,netral
Publikasi perusahaan cukup rutin,netral
Konten media sosial tidak terlalu menarik,netral
Informasi disampaikan singkat,netral
Humas menyampaikan berita sesuai fakta,netral
Pengumuman acara sudah sesuai jadwal,netral
Pelayanan humas kurang cepat,negatif
Admin media sosial jarang membalas komentar,negatif
Informasi yang disampaikan kurang lengkap,negatif
Respon humas terlalu lama,negatif
Publikasi kegiatan kurang menarik,negatif
Kurang transparan dalam menyampaikan informasi,negatif
Pengumuman sering terlambat,negatif
Konten media sosial membosankan,negatif
Humas kurang komunikatif,negatif
Banyak pertanyaan masyarakat tidak dijawab,negatif
Pelayanan perusahaan semakin baik dari waktu ke waktu,positif
Program lingkungan perusahaan patut diapresiasi,positif
Humas selalu memberikan klarifikasi yang jelas,positif
Informasi krisis disampaikan dengan baik,positif
Perusahaan aktif membangun citra positif,positif
Komunikasi digital perusahaan semakin bagus,positif
Media sosial PIM dikelola dengan profesional,positif
Informasi kegiatan pabrik disampaikan terbuka,positif
Berita perusahaan mudah diakses publik,positif
Humas bekerja dengan sangat baik,positif
Informasi hanya berupa pengumuman singkat,netral
Postingan hanya berisi dokumentasi kegiatan,netral
Konten bersifat formal,netral
Bahasa yang digunakan cukup resmi,netral
Informasi sesuai dengan kegiatan perusahaan,netral
Publikasi dilakukan secara berkala,netral
Tidak banyak interaksi di kolom komentar,netral
Berita perusahaan tidak menimbulkan reaksi khusus,netral
Informasi bersifat satu arah,netral
